date,festival_flag,festival_name,aqi,daily_admissions,daily_emergency_walkins,daily_opd_visits,department_ward,daily_bed_occupancy,daily_icu_occupancy,oxygen_usage_per_day,oxygen_stock_level,medical_supply_stock_level,ambulance_requests,doctors_per_shift,nurses_per_shift,support_staff_per_shift,ventilator_usage,patient_waiting_time,symptoms_diagnosis,epidemic_indicator,near_hospital_1_name,near_hospital_1_distance_km,near_hospital_1_contact,near_hospital_2_name,near_hospital_2_distance_km,near_hospital_2_contact,near_hospital_3_name,near_hospital_3_distance_km,near_hospital_3_contact
2024-01-01,1,New Year,268,94,38,136,General,74,65,36,111,180,17,5,12,17,20,7,Headache,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-02,0,None,306,84,28,96,ICU,90,82,44,117,77,17,6,13,15,14,36,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-03,0,None,280,86,10,145,Pediatrics,50,38,106,48,150,8,13,10,17,15,45,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-04,0,None,278,83,23,91,Surgery,65,60,69,134,86,6,5,11,8,6,10,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-05,0,None,302,57,10,88,Pediatrics,52,83,45,77,133,19,14,14,18,10,27,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-06,0,None,239,49,29,130,Orthopedic,89,67,64,92,146,7,8,19,18,6,48,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-07,0,None,315,85,13,111,General,64,86,38,110,165,14,8,19,18,24,54,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-08,0,None,264,71,17,126,Pediatrics,74,66,31,65,179,13,8,20,14,24,36,Breathing issue,Yes,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-09,0,None,233,75,20,101,Surgery,71,41,68,138,123,13,5,23,16,19,22,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-10,0,None,244,62,17,87,ICU,82,55,30,51,75,7,13,14,8,16,46,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-11,0,None,309,81,25,81,Orthopedic,81,42,38,48,60,15,7,20,16,12,28,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-12,0,None,280,56,24,71,Orthopedic,61,89,87,69,174,9,10,11,15,21,45,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-13,0,None,273,82,28,89,Orthopedic,69,59,54,49,129,18,11,13,8,6,33,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-14,0,None,235,53,11,120,ICU,80,66,64,54,127,19,13,12,19,15,21,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-15,1,Pongal,239,98,49,127,ICU,89,65,62,47,146,10,10,21,19,24,10,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-16,0,None,272,83,24,106,Orthopedic,75,60,80,133,66,9,8,24,11,7,51,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-17,0,None,229,43,17,144,Pediatrics,85,77,92,90,84,14,14,21,14,10,17,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-18,0,None,256,55,11,61,Pediatrics,78,82,50,74,128,19,7,11,11,22,27,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-19,0,None,263,80,11,135,General,85,39,41,71,56,16,6,22,17,14,30,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-20,0,None,331,93,20,65,Surgery,87,58,72,149,72,13,13,16,14,18,18,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-21,0,None,329,75,10,107,Surgery,62,88,41,75,164,19,12,22,15,15,10,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-22,0,None,300,94,17,127,ICU,72,53,52,75,164,17,11,18,14,15,37,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-23,0,None,263,58,14,106,General,58,37,56,67,144,14,6,15,13,19,45,Accident,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-24,0,None,339,63,23,144,Orthopedic,62,39,82,61,91,12,7,23,9,20,41,Headache,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-25,0,None,347,67,26,133,ICU,69,39,50,107,90,8,6,21,10,10,18,Fever,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-26,0,None,235,42,29,123,Orthopedic,84,67,107,94,127,13,7,22,15,23,57,Breathing issue,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-27,0,None,268,70,29,126,ICU,62,66,37,52,190,12,8,11,18,14,35,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
2024-01-28,0,None,220,72,24,148,General,80,89,104,66,183,6,10,12,8,7,41,Chest pain,No,Apollo Hospital,3.5,+91 9840012345,SRM Medical College Hospital,7.2,+91 9003011122,Rajiv Gandhi Govt Hospital,9.8,+91 9444022233
